unidade;ano;mes;cond_adquirida;altas_validas;tx_cond_adquirida
HJK;2023;12;97;934;0,10385438972162742
HJK;2024;1;102;930;0,10967741935483871
HJK;2024;2;85;1044;0,08141762452107279
HJK;2024;3;99;1265;0,0782608695652174
HJK;2024;4;101;1180;0,08559322033898305
HJK;2024;5;105;1238;0,08481421647819062
HJK;2024;6;80;1129;0,070859167404783
HJK;2024;7;91;1128;0,08067375886524823
HJK;2024;8;98;1128;0,08687943262411348
HJK;2024;9;121;1059;0,11425873465533522
HJK;2024;10;108;1146;0,09424083769633508
HJK;2024;11;80;1075;0,07441860465116279
HJK;2024;12;94;1129;0,08325952170062002
HJK;2025;1;110;1152;0,0954861111111111
HJK;2025;2;155;1063;0,1458137347130762
HJK;2025;3;128;1192;0,10738255033557047
HJK;2025;4;108;1143;0,09448818897637795
HJK;2025;5;135;1098;0,12295081967213115
HJK;2025;6;82;1009;0,08126858275520317
HJK;2025;7;194;1186;0,163575042158516
HJK;2025;8;110;1112;0,09892086330935251
HJK;2025;9;143;1156;0,12370242214532871
HJK;2025;10;122;1106;0,11030741410488246
HJK;2025;11;92;1053;0,08736942070275404
HJK;2025;12;155;1195;0,1297071129707113
HJK;2026;1;290;1167;0,24850042844901457
HJK;2026;2;247;1137;0,21723834652594548
HJK;2026;3;110;626;0,1757188498402556
HJK;2026;4;235;1127;0,2085181898846495
HJK;2026;5;243;1227;0,1980440097799511
HJK;2026;6;259;1175;0,2204255319148936
HJXXIII;2020;4;3;161;0,018633540372670808
HJXXIII;2020;5;23;429;0,053613053613053616
HJXXIII;2020;6;81;736;0,11005434782608696
HJXXIII;2020;7;169;947;0,17845828933474128
HJXXIII;2020;8;128;757;0,1690885072655218
HJXXIII;2020;9;170;951;0,17875920084121977
HJXXIII;2020;10;181;1005;0,18009950248756218
HJXXIII;2020;11;137;924;0,14826839826839827
HJXXIII;2020;12;44;331;0,13293051359516617
HJXXIII;2021;1;52;578;0,08996539792387544
HJXXIII;2021;2;7;93;0,07526881720430108
HJXXIII;2021;3;43;652;0,06595092024539877
HJXXIII;2021;4;9;351;0,02564102564102564
HJXXIII;2021;5;39;708;0,05508474576271186
HJXXIII;2021;6;23;613;0,037520391517128875
HJXXIII;2021;7;83;952;0,08718487394957983
